㟴,fan4
㟴,fan6
㟵,gong1
㟶,jyun4
㟷,dap3
㟸,gou1
㟹,liu4
㟹,lou4
㟺,laau4
㟻,chim3
㟻,ding1
㟻,jam2
㟼,ngou4
㟼,ngou4
㟽,biu2
㟾,jung4
㟿,mong5
㠀,dou2
㠁,chaam1
㠂,ngou4
㠄,jap6
㠅,fuk1
㠆,dan1
㠇,jaau6
㠈,jeun6
㠉,hiu1
㠉,tung4
㠊,keui1
㠋,ngok6
㠌,hei1
㠍,chaap1
㠍,jap6
㠍,jit6
㠎,jap6
㠏,gwaai3
㠏,wa4
㠏,wat6
㠐,cha4
㠐,giu6
㠐,kiu4
㠑,jeui6
㠒,biu2
㠓,mung4
㠔,bai3
㠔,be6
㠕,waai5
㠖,ji4
㠖,ji6
㠗,bei1
㠗,ou3
㠘,jeui6
㠙,hou4
㠚,deui3
㠚,jeui3
㠜,jik6
㠝,chyun4
㠟,laai4
㠠,lou4
㠡,muk6
㠡,niu5
㠢,wai4
㠢,wik6
㠣,lik6
㠥,leui6
㠦,fung1
㠦,gaam3
㠦,haat6
㠧,mei5
㠨,gwaat1
㠨,waat1
㠩,fong1
㠪,geui6
㠭,jin2
㠮,pang1
㠯,jyu5
㠱,gei6
㠲,baat6
㠲,bei2
㠲,bok3
㠴,jaan6
㠵,fong1
㠶,fan4
㠷,gok3
㠷,hon6
㠷,kaau3
㠸,fu3
㠸,gu1
㠹,gai3
㠺,sa1
㠻,hei1
㠼,si1
㠽,tung4
㠾,jyun1
㠾,jyun3
㠿,ji1
㡀,baai6
㡁,kai2
㡁,kwa1
㡁,kwa3
㡁,pong4
㡁,tap3
㡂,laai6
㡃,fong1
㡄,seun1
㡄,seun2
㡅,no5
㡆,fong1
㡇,jip3
㡈,maan6
㡉,jin4
㡊,haap1
㡊,hap6
㡋,jim1
㡌,mou6
㡎,saam1
㡏,so1
㡐,jin1
㡑,hau1
㡑,jiu2
㡒,jeun1
㡓,kwaan1
㡔,mou6
㡕,jing1
㡖,chong4
㡗,taai4
㡘,lim4
㡙,bei1
㡚,haat6
㡚,ngaau1
㡛,mong4
㡜,syut3
